設定,變數,係數,穩健SE,t值,p值,顯著性,N
廢棄物裁罰金額｜低耗水｜t-0,WasteFine_D_dREV,-0.0021269531517226514,0.002382787937548775,-0.8926321634440929,0.37205418908451826,,2004
廢棄物裁罰金額｜低耗水｜t-0,WASTE_FINE,-0.0005284616641714138,0.00040292324270818533,-1.3115690736018146,0.18966557353337277,,2004
廢棄物裁罰金額｜低耗水｜t-1,dLNREV,0.38870883116016747,0.02626474627874457,14.799641581717475,1.4726524238353656e-49,***,1958
廢棄物裁罰金額｜低耗水｜t-1,DEC_x_dREV,-0.40536154400155866,0.37940099333954147,-1.0684250993480768,0.28532880012591044,,1958
廢棄物裁罰金額｜低耗水｜t-1,WasteFine_D_dREV_l1,-0.003140587797031961,0.006002625750918036,-0.5232023330042928,0.6008334580818553,,1958
廢棄物裁罰金額｜低耗水｜t-1,WasteFine_l1,-0.0008091247526677596,0.0005706241654535054,-1.4179644004818919,0.15620115851474878,,1958
廢棄物裁罰金額｜低耗水｜t-2,dLNREV,0.34972107657199425,0.027621579983044875,12.661153952332404,9.706202613636798e-37,***,1915
廢棄物裁罰金額｜低耗水｜t-2,DEC_x_dREV,0.005716415985523869,0.3585199275196393,0.015944486057084598,0.9872786797638068,,1915
廢棄物裁罰金額｜低耗水｜t-2,WasteFine_D_dREV_l2,-0.004322380500878592,0.004743152552332217,-0.9112885266052152,0.36214337009965547,,1915
廢棄物裁罰金額｜低耗水｜t-2,WasteFine_l2,-5.6379746716734354e-05,0.00033448136963760066,-0.1685587056098817,0.8661437638522339,,1915
用水密集度｜全樣本｜t-0,dLNREV,0.3687652933723485,0.019069587550783192,19.33787463364425,2.57887077604941e-83,***,8484
用水密集度｜全樣本｜t-0,DEC_x_dREV,-0.06270764832020156,0.1410404026695091,-0.4446076949109424,0.6566032856275067,,8484
用水密集度｜全樣本｜t-0,WaterInt_D_dREV,-0.030502838579036153,0.023578872067834426,-1.2936513032210386,0.19578589300039007,,8484
用水密集度｜全樣本｜t-0,WATER_INTENSITY,-0.012891827031195714,0.00345477887733039,-3.73159252413793,0.00019027309971370452,***,8484
用水密集度｜全樣本｜t-1,dLNREV,0.3836490570122899,0.021969457726696923,17.462836897703028,2.749257665306127e-68,***,7176
用水密集度｜全樣本｜t-1,DEC_x_dREV,-0.19637241711441544,0.14568710655414566,-1.3479052591481884,0.1776888563596286,,7176
用水密集度｜全樣本｜t-1,WaterInt_D_dREV_l1,-0.019019973595597706,0.03021582944595301,-0.6294705108002642,0.5290410687582106,,7176
用水密集度｜全樣本｜t-1,WaterInt_l1,-0.010681085170024529,0.004386301943650748,-2.4351002979823573,0.014887662416976219,**,7176
用水密集度｜全樣本｜t-2,dLNREV,0.3982628842674927,0.023348904426640293,17.05702661633616,3.099345300497701e-65,***,5874
用水密集度｜全樣本｜t-2,DEC_x_dREV,-0.3568642849240817,0.15689351779359137,-2.274563601751675,0.02293212166929278,**,5874
用水密集度｜全樣本｜t-2,WaterInt_D_dREV_l2,-0.016374487389918386,0.023555359481875197,-0.6951491189305697,0.48696185511345524,,5874
用水密集度｜全樣本｜t-2,WaterInt_l2,-0.022107617260315248,0.005970265310077858,-3.7029539077597446,0.00021310361114086214,***,5874
用水密集度｜高耗水｜t-0,dLNREV,0.411558760353046,0.0360101883069701,11.428953296347663,2.9969956905751295e-30,***,4099
用水密集度｜高耗水｜t-0,DEC_x_dREV,-0.19277648020307875,0.222534781624125,-0.866275729106878,0.38633897287554664,,4099
用水密集度｜高耗水｜t-0,WaterInt_D_dREV,-0.09142055619764707,0.04326707919889891,-2.112935698233441,0.03460627190356878,**,4099
用水密集度｜高耗水｜t-0,WATER_INTENSITY,-0.014784839272789316,0.0043146264280123124,-3.426678883900612,0.0006110111618854417,***,4099
用水密集度｜高耗水｜t-1,dLNREV,0.44356482924146534,0.03588016637940319,12.362396109068527,4.1752293706130386e-35,***,3540
用水密集度｜高耗水｜t-1,DEC_x_dREV,-0.21349513205714613,0.23854597876960174,-0.8949852483715485,0.37079497371808057,,3540
用水密集度｜高耗水｜t-1,WaterInt_D_dREV_l1,-0.06177185074957536,0.044181704515534555,-1.3981319061118616,0.16207346022774172,,3540
用水密集度｜高耗水｜t-1,WaterInt_l1,-0.011449549951243245,0.005248908726455529,-2.1813200701195794,0.029159750960550717,**,3540
用水密集度｜高耗水｜t-2,dLNREV,0.44760067379949636,0.042503199553996514,10.530987749071919,6.21785643700195e-26,***,2964
用水密集度｜高耗水｜t-2,DEC_x_dREV,-0.27846818500232223,0.276490141138723,-1.007154120777879,0.3138607165926941,,2964
用水密集度｜高耗水｜t-2,WaterInt_D_dREV_l2,-0.04002755938036965,0.047725622463731306,-0.8387016724776772,0.40163673958393764,,2964
用水密集度｜高耗水｜t-2,WaterInt_l2,-0.02289376572624473,0.0075101991595209975,-3.0483566733674876,0.0023009664553807537,***,2964
用水密集度｜低耗水｜t-0,dLNREV,0.3463610303314416,0.022232277820248857,15.579196748611187,1.008135918961204e-54,***,4385
用水密集度｜低耗水｜t-0,DEC_x_dREV,-0.041073903518840646,0.18741466030436252,-0.21916056861366331,0.8265249704708589,,4385
用水密集度｜低耗水｜t-0,WaterInt_D_dREV,-0.003388199461925113,0.019232704718497563,-0.17616864146343506,0.8601614559477597,,4385
用水密集度｜低耗水｜t-0,WATER_INTENSITY,-0.014683711790482938,0.007132775622812356,-2.058625220667372,0.03953015479304654,**,4385
用水密集度｜低耗水｜t-1,dLNREV,0.3528259520251127,0.026371936919211695,13.378841042505394,8.039109922265308e-41,***,3636
用水密集度｜低耗水｜t-1,DEC_x_dREV,-0.2502543293920031,0.18748914839942157,-1.3347670066689319,0.1819526150639581,,3636
用水密集度｜低耗水｜t-1,WaterInt_D_dREV_l1,0.016579965503600906,0.03547903198257114,0.4673173019981412,0.6402728794290984,,3636
用水密集度｜低耗水｜t-1,WaterInt_l1,-0.01569286278904293,0.008893842034299125,-1.7644638535880628,0.07765391585885695,*,3636
用水密集度｜低耗水｜t-2,dLNREV,0.37027984592500135,0.027588578326515203,13.421490645247486,4.525184514704451e-41,***,2910
用水密集度｜低耗水｜t-2,DEC_x_dREV,-0.4459004513286118,0.1916659794893488,-2.326445478308743,0.01999479786497727,**,2910
用水密集度｜低耗水｜t-2,WaterInt_D_dREV_l2,-0.011255335133213086,0.01862163195944085,-0.6044225961359323,0.5455627165456421,,2910
用水密集度｜低耗水｜t-2,WaterInt_l2,-0.026852744639644013,0.013312306517784304,-2.0171368953810247,0.04368122927024732,**,2910
