模型,類型,遞延期,Water_Var,變數,角色,係數,穩健SE,t值,p值,顯著性,N,公司數,adj_R2
模型2 水揭露 L2(t-2),次分析,2,WaterDisc_l2,D_x_dREV,β2(黏性),-0.15880856733970078,0.1378513744925766,-1.1520274493037628,0.24930979388816177,,16661,1757,0.32127908071699995
模型2 水揭露 L2(t-2),次分析,2,WaterDisc_l2,WaterDisc_D_dREV_l2,β3(三重交乘),0.010320331687629773,0.03691591656631422,0.27956319787132355,0.7798126454619198,,16661,1757,0.32127908071699995
模型2 水揭露 L2(t-2),次分析,2,WaterDisc_l2,WaterDisc_l2,β4(水主效果),0.0020447691331552356,0.003906571133716511,0.5234178677836969,0.6006834927417801,,16661,1757,0.32127908071699995
模型2 水揭露 L2(t-2),次分析,2,WaterDisc_l2,Size_D_dREV,控制交乘,0.010126906447604387,0.00925712414668387,1.0939581545130401,0.2739733312923808,,16661,1757,0.32127908071699995
模型2 水揭露 L2(t-2),次分析,2,WaterDisc_l2,AI_D_dREV,控制交乘,-0.005281241512672326,0.0009260995937045479,-5.702671233821093,1.179443308890265e-08,***,16661,1757,0.32127908071699995
模型2 水揭露 L2(t-2),次分析,2,WaterDisc_l2,EI_D_dREV,控制交乘,13.616876193544186,36.94293025890854,0.36859220690163225,0.7124317051935412,,16661,1757,0.32127908071699995
模型2 水揭露 L2(t-2),次分析,2,WaterDisc_l2,ROA_D_dREV,控制交乘,0.012619143095138992,0.0029989500336425772,4.207853733331982,2.5780764359940587e-05,***,16661,1757,0.32127908071699995
模型2 水揭露 L2(t-2),次分析,2,WaterDisc_l2,Lev_D_dREV,控制交乘,0.0004033151000282093,0.0004953523999608378,0.8141983364976028,0.41553133829955724,,16661,1757,0.32127908071699995
模型2 水揭露 L2(t-2),次分析,2,WaterDisc_l2,Decrease_D_dREV,控制交乘,0.0615284944252693,0.018976708418463415,3.2423164791532058,0.001185622809770903,***,16661,1757,0.32127908071699995
模型3 廢棄物密集度 L0(當期),廢棄物主分析,0,Waste_Intensity,dLNREV,β1,0.3500447380554192,0.022413849863237554,15.617341072206914,5.5471093601825296e-55,***,3273,1659,0.3567658335957864
模型3 廢棄物密集度 L0(當期),廢棄物主分析,0,Waste_Intensity,D_x_dREV,β2(黏性),-0.6393607612587425,0.20163173778179236,-3.170933149178451,0.0015195010746194648,***,3273,1659,0.3567658335957864
模型3 廢棄物密集度 L0(當期),廢棄物主分析,0,Waste_Intensity,WasteInt_D_dREV,β3(三重交乘),0.008629992952265547,0.013978143447239551,0.6173919293960191,0.5369762440147154,,3273,1659,0.3567658335957864
模型3 廢棄物密集度 L0(當期),廢棄物主分析,0,Waste_Intensity,Waste_Intensity,β4(水主效果),-0.0008112630035312622,0.00291874901317192,-0.2779488746275003,0.7810516049540556,,3273,1659,0.3567658335957864
模型3 廢棄物密集度 L0(當期),廢棄物主分析,0,Waste_Intensity,Size_D_dREV,控制交乘,0.035346797225175544,0.012603868626315929,2.8044403090154475,0.00504040196085078,***,3273,1659,0.3567658335957864
模型3 廢棄物密集度 L0(當期),廢棄物主分析,0,Waste_Intensity,AI_D_dREV,控制交乘,-0.004549921945323075,0.0018343234572682878,-2.480436003418346,0.013122181701220226,**,3273,1659,0.3567658335957864
模型3 廢棄物密集度 L0(當期),廢棄物主分析,0,Waste_Intensity,EI_D_dREV,控制交乘,110.1634505331776,79.03921771150577,1.393782146671488,0.16338340100501236,,3273,1659,0.3567658335957864
模型3 廢棄物密集度 L0(當期),廢棄物主分析,0,Waste_Intensity,ROA_D_dREV,控制交乘,0.016500465067759717,0.005126016293138229,3.218964615826039,0.0012865435985245075,***,3273,1659,0.3567658335957864
